State,HSGradPer,BADegPer,AdvDegPer,LifeExp2018,LifeExp2010,MaleLifeExp,FemLifeExp,PopTot,MurderNMTot,MurderTot,GunMurderTot,GunOwnPer,MurderNMRate,MurderRate,GunMurderRate,TotalSqMi,TotalKmQ,LandSqMi,LandKmQ,LandPer,WaterSqMi,WaterKmQ,WaterPer,Income2017,Income2016,Income2015,Income2014,Income2013,Income2012,Income2011,Income2010,Income2009,Income2008,Income2007,Abb,Region,Division
Alabama,85.3,24.5,9.1,75.4,75.4,72.6,78.1,4853875,348,,,48.9,7.2,,,52420.07,135767,50645.33,131171,96.61,1774.74,4597,3.39,48123,46257,44765,42830,42849,41574,41415,40474,40489,42666,40554,AL,South,East South Central
Alaska,92.4,29.0,10.4,78.8,78.0,76.7,81.2,737709,59,57.0,39.0,61.7,8.0,7.7,5.3,665384.04,1723337,570640.95,1477953,85.76,94743.1,245384,14.24,73181,76440,73355,71583,72237,67712,67825,64576,66953,68460,64333,AK,West,Pacific
Arizona,82.1,28.4,10.7,79.9,79.3,77.5,82.3,6817565,306,278.0,171.0,32.3,4.5,4.1,2.5,113990.3,295234,113594.08,294207,99.65,396.22,1026,0.35,56581,53558,51492,50068,48510,47826,46709,46789,48745,50958,49889,AZ,West,Mountain
Arkansas,85.6,22.0,7.9,75.9,76.0,73.1,78.6,2977853,181,164.0,110.0,57.9,6.1,5.5,3.7,53178.55,137732,52035.48,134771,97.85,1143.07,2961,2.15,45869,45907,42798,44922,39376,39018,41302,38587,36538,39586,38134,AR,South,West South Central
California,82.5,32.6,12.2,81.6,80.6,79.4,83.8,38993940,1861,1861.0,1275.0,20.1,4.8,4.8,3.3,163694.74,423967,155779.22,403466,95.16,7915.52,20501,4.84,71805,67739,64500,61933,60190,58328,57287,57708,58931,61021,59948,CA,West,Pacific
Colorado,91.1,39.4,14.6,80.5,80.1,78.5,82.5,5448819,176,176.0,115.0,34.3,3.2,3.2,2.1,104093.67,269601,103641.89,268431,99.57,451.78,1170,0.43,69117,65685,63909,61303,58823,56765,55387,54046,55430,56993,55212,CO,West,Mountain
Connecticut,90.2,38.4,17.0,80.9,80.7,78.7,83.0,3584730,117,107.0,73.0,16.6,3.3,3.0,2.0,5543.41,14357,4842.36,12542,87.35,701.06,1816,12.65,74168,73433,71346,70048,67098,67276,65753,64032,67034,68595,65967,CT,Northeast,New England
Delaware,89.3,31.0,12.9,78.4,78.3,76.2,80.6,944076,63,63.0,52.0,5.2,6.7,6.7,5.5,2488.72,6446,1948.54,5047,78.29,540.18,1399,21.71,62852,61757,61255,59716,57846,54554,58814,55847,56860,57989,54610,DE,South,South Atlantic
Florida,87.6,28.5,10.3,80.0,79.0,77.3,82.6,20244914,1041,,,32.5,5.1,,,65757.7,170312,53624.76,138887,81.55,12132.94,31424,18.45,52594,50860,49426,47463,46036,45040,44299,44409,44736,47778,47804,FL,South,South Atlantic
Georgia,86.3,29.9,11.4,77.8,77.3,75.4,80.0,10199398,615,565.0,464.0,31.6,6.0,5.5,4.5,59425.15,153910,57513.49,148959,96.78,1911.66,4951,3.22,56183,53559,51244,49321,47829,47209,46007,46430,44736,50861,49136,GA,South,South Atlantic
Hawaii,91.6,32.0,10.8,82.3,81.4,79.3,85.3,1425157,19,19.0,4.0,45.1,1.3,1.3,0.3,10931.72,28313,6422.63,16635,58.75,4509.09,11678,41.25,77765,74511,73486,69592,68020,66259,61821,63030,64098,67214,63746,HI,West,Pacific
Idaho,90.2,26.8,8.5,79.3,79.4,77.4,81.2,1652828,32,30.0,24.0,56.9,1.9,1.8,1.5,83568.95,216443,82643.12,214045,98.89,925.83,2398,1.11,52225,51807,48275,47861,46783,45489,43341,43490,44926,47576,46253,ID,West,Mountain
Illinois,88.6,33.4,13.0,79.3,79.0,77.0,81.6,12859995,744,497.0,440.0,26.2,5.8,3.9,3.4,57913.55,149995,55518.93,143793,95.87,2394.62,6202,4.13,62992,60960,59588,57444,56210,55137,53234,52972,53966,56235,54124,IL,North Central,East North Central
Indiana,88.3,25.3,9.2,77.0,77.5,74.6,79.3,6612768,373,272.0,209.0,33.8,5.6,4.1,3.2,36419.55,94326,35826.11,92789,98.37,593.44,1537,1.63,54181,52314,50532,49446,47529,46974,46438,44613,45424,47966,47448,IN,North Central,East North Central
Iowa,91.8,27.7,9.0,79.4,79.6,77.2,81.6,3121997,72,72.0,49.0,33.8,2.3,2.3,1.6,56272.81,145746,55857.13,144669,99.26,415.68,1077,0.74,58570,56247,54736,53712,52229,50957,49427,47961,48044,48980,47292,IA,North Central,West North Central
Kansas,90.5,32.3,11.7,78.5,78.6,76.3,80.7,2906721,128,125.0,91.0,32.2,4.4,4.3,3.1,82278.36,213100,81758.72,211754,99.37,519.64,1346,0.63,56422,54935,53906,52504,50972,50241,48264,48257,47817,50177,47451,KS,North Central,West North Central
Kentucky,85.2,23.2,9.6,75.4,75.9,72.8,77.9,4424611,209,209.0,141.0,42.4,4.7,4.7,3.2,40407.8,104656,39486.34,102269,97.72,921.46,2387,2.28,48375,46659,44765,42958,43399,41724,41141,40062,40072,41538,40267,KY,South,East South Central
Louisiana,84.3,23.4,8.1,76.1,75.8,73.4,79.0,4668960,481,474.0,379.0,44.5,10.3,10.2,8.1,52378.13,135659,43203.9,111898,82.48,9174.23,23761,17.52,46145,45146,45727,44555,44164,42944,41734,42505,42429,43733,40926,LA,South,West South Central
Maine,92.1,30.3,10.9,78.7,79.1,76.6,81.0,1329453,23,23.0,16.0,22.6,1.7,1.7,1.2,35379.74,91633,30842.92,79883,87.18,4536.82,11750,12.82,56277,53079,51494,49462,46974,46709,46033,45815,45734,46581,45888,ME,Northeast,New England
Maryland,89.8,39.0,18.0,79.1,79.0,76.7,81.4,5994983,516,372.0,279.0,20.7,8.6,6.2,4.7,12405.93,32131,9707.24,25142,78.25,2698.69,6990,21.75,80776,78945,75847,73971,72483,71836,70004,68854,69272,70545,68080,MD,South,South Atlantic
Massachusetts,90.3,42.1,18.7,80.5,80.5,78.2,82.6,6784240,128,126.0,81.0,22.6,1.9,1.9,1.2,10554.39,27336,7800.06,20202,73.9,2754.33,7134,26.1,77385,75297,70628,69160,66768,65339,62859,62072,64081,65401,62365,MA,Northeast,New England
Michigan,90.2,28.1,11.0,78.0,78.0,75.7,80.2,9917715,571,571.0,389.0,28.8,5.8,5.8,3.9,96713.51,250487,56538.9,146435,58.46,40174.61,104052,41.54,54909,52492,51084,49847,48273,46859,45981,45413,45255,48591,47950,MI,North Central,East North Central
Minnesota,92.8,34.8,11.8,81.0,80.8,79.0,83.0,5482435,133,133.0,79.0,36.7,2.4,2.4,1.4,86935.83,225163,79626.74,206232,91.59,7309.09,18930,8.41,68388,65599,63488,61481,60702,58906,56954,55459,55616,57288,55802,MN,North Central,West North Central
Mississippi,83.4,21.3,8.0,74.9,74.8,71.9,78.0,2989390,259,159.0,126.0,42.8,8.7,5.3,4.2,48431.78,125438,46923.27,121531,96.89,1508.51,3907,3.11,43529,41754,40593,39680,37963,37095,36919,36851,36646,37790,36338,MS,South,East South Central
Missouri,89.2,28.2,10.7,77.3,77.4,74.9,79.8,6076204,502,499.0,418.0,27.1,8.3,8.2,6.9,69706.99,180540,68741.52,178040,98.61,965.47,2501,1.39,53578,51746,50238,48363,46931,45321,45247,44301,45229,46867,45114,MO,North Central,West North Central
Montana,93.0,30.7,10.1,78.8,78.5,76.8,81.0,1032073,36,36.0,18.0,52.3,3.5,3.5,1.7,147039.71,380831,145545.8,376962,98.98,1493.91,3869,1.02,53386,50027,49509,46328,46972,45076,44222,42666,42322,43654,43531,MT,West,Mountain
Nebraska,90.9,30.6,10.2,79.6,79.7,77.4,81.7,1893765,62,61.0,43.0,19.8,3.3,3.2,2.3,77347.81,200330,76824.17,198974,99.32,523.64,1356,0.68,59970,56927,54996,52686,51440,50723,50296,52504,48408,49693,47085,NE,North Central,West North Central
Nevada,85.8,23.7,8.1,78.5,77.8,76.1,81.0,2883758,178,177.0,113.0,37.5,6.2,6.1,3.9,110571.82,286380,109781.18,284332,99.28,790.65,2048,0.72,58003,55180,52431,51450,51230,49760,48927,51001,53341,56361,55062,NV,West,Mountain
New_Hampshire,92.8,36.0,13.8,79.5,80.3,77.5,81.4,1330111,14,14.0,8.0,14.4,1.1,1.1,0.6,9349.16,24214,8952.65,23187,95.76,396.51,1027,4.24,73381,70936,70303,66532,64230,63280,62647,61042,60567,63731,62369,NH,Northeast,New England
New_Jersey,89.2,38.1,14.7,80.4,80.0,78.2,82.5,8935421,363,353.0,255.0,11.3,4.1,4.0,2.9,8722.58,22591,7354.22,19047,84.31,1368.36,3544,15.69,80088,76126,72222,72919,70165,69667,67458,67681,68342,70373,67035,NJ,Northeast,Middle Atlantic
New_Mexico,85.0,26.9,11.8,78.1,78.2,75.3,81.0,2080328,117,94.0,56.0,49.9,5.6,4.5,2.7,121590.3,314917,121298.15,314161,99.76,292.15,757,0.24,46744,46748,45382,44803,43872,42558,41963,42090,43028,43508,41452,NM,West,Mountain
New_York,86.1,35.3,15.4,81.3,80.3,79.0,83.4,19747183,609,611.0,383.0,10.3,3.1,3.1,1.9,54554.98,141297,47126.4,122057,86.38,7428.58,19240,13.62,64894,62909,60850,58878,57369,56448,55246,54148,54659,56013,53514,NY,Northeast,Middle Atlantic
North_Carolina,86.9,29.9,10.6,78.0,77.8,75.5,80.3,10035186,517,506.0,353.0,28.7,5.2,5.0,3.5,53819.16,139391,48617.91,125920,90.34,5201.25,13471,9.66,52752,50584,47830,46556,45906,45150,43916,43326,43674,46549,44670,NC,South,South Atlantic
North_Dakota,92.3,28.9,7.8,79.9,79.7,77.6,82.5,756835,21,17.0,9.0,47.9,2.8,2.2,1.2,70698.32,183108,69000.8,178711,97.6,1697.52,4397,2.4,61843,60656,60557,59029,55759,53585,51704,48670,47827,46032,43531,ND,North Central,West North Central
